iter	Passed	Remaining
910	2619	255
911	2622	253
912	2625	250
913	2628	247
914	2630	244
915	2634	241
916	2637	238
917	2640	235
918	2644	233
919	2647	230
920	2650	227
921	2654	224
922	2657	221
923	2661	218
924	2664	216
925	2667	213
926	2669	210
927	2672	207
928	2674	204
929	2677	201
930	2679	198
931	2682	195
932	2684	192
933	2686	189
934	2688	186
935	2690	183
936	2694	181
937	2697	178
938	2700	175
939	2703	172
940	2705	169
941	2708	166
942	2711	163
943	2714	161
944	2716	158
945	2718	155
946	2721	152
947	2722	149
948	2724	146
949	2727	143
950	2729	140
951	2731	137
952	2733	134
953	2737	132
954	2741	129
955	2743	126
956	2746	123
957	2750	120
958	2753	117
959	2757	114
960	2761	112
961	2764	109
962	2767	106
963	2771	103
964	2773	100
965	2777	97
966	2780	94
967	2784	92
968	2787	89
969	2790	86
970	2793	83
971	2797	80
972	2800	77
973	2803	74
974	2806	71
975	2809	69
976	2812	66
977	2815	63
978	2818	60
979	2821	57
980	2824	54
981	2827	51
982	2831	48
983	2834	46
984	2838	43
985	2841	40
986	2845	37
987	2848	34
988	2851	31
989	2853	28
990	2855	25
991	2858	23
992	2860	20
993	2862	17
994	2865	14
995	2867	11
996	2869	8
997	2871	5
998	2873	2
999	2875	0
